,titel,slutpris,postnummer,ort,medelinkomst_månad,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Biarea,Uteplats,Tomtarea,Våning,Byggår,Driftkostnad,Avgift,Finns_hiss,Slutpris_delat,inkomst_delat
6910,Viksängsvägen 24,1850000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,2.0,49.5,,0,,3,2007.0,3000,4505,1,18.5,3.5767
6911,Viksängsvägen 24,2000000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,2.0,49.5,,0,,2,2007.0,7800,4505,1,20.0,3.5767
6912,Rännilsvägen 2B,1275000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,2.0,62.5,,0,,2,1993.0,3000,5442,1,12.75,3.5767
6913,Viksängsvägen 24,2450000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,3.0,78.5,,0,,1,2006.0,3000,6098,0,24.5,3.5767
6914,Sågverksvägen 3,1725000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,2.0,39.0,,0,,2,2022.0,3000,3411,1,17.25,3.5767
6915,Viksängsvägen 22,2250000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,3.0,78.5,,0,,1,2007.0,3600,6830,1,22.5,3.5767
6916,Rimfrostvägen 13E,1850000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,2.0,53.0,,1,,1,2018.0,500,3698,1,18.5,3.5767
6917,Rännilsvägen 2B,1500000,15257,Södertälje kommun,35767,Lägenhet,Bostadsrätt,2.0,67.5,,0,,2,1993.0,8005,5700,1,15.0,3.5767
6918,Fornhöjdsvägen 6,1350000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,3.0,74.5,,0,,1,1972.0,4560,4435,1,13.5,1.9649
6919,Fornhöjdsvägen 22,1380000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.0,62.0,,0,,4,1972.0,3300,3740,1,13.8,1.9649
6920,Fornhöjdsvägen 46,1050000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.0,62.0,,0,,2,1972.0,3000,5011,1,10.5,1.9649
6921,Fornhöjdsvägen 56,1220000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.5,62.0,,0,,4,1972.0,2400,5311,1,12.2,1.9649
6922,Fornhöjdsvägen 10,1730000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,3.0,74.5,,0,,3,1972.0,4440,4527,1,17.3,1.9649
6923,Fornhöjdsvägen 46,1225000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.5,62.0,,0,,1,1972.0,3000,5311,1,12.25,1.9649
6924,Fornhöjdsvägen 24,1020000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.0,62.0,,0,,2,1972.0,3000,3852,1,10.2,1.9649
6925,Fornhöjdsvägen 8,1250000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.0,62.0,,0,,3,1972.0,3000,3852,1,12.5,1.9649
6926,Fornhöjdsvägen 24,1110000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.0,62.0,,0,,3,,4404,3852,1,11.1,1.9649
6927,Fornhöjdsvägen 20,1000000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.0,62.0,,0,,6,1972.0,3000,3852,1,10.0,1.9649
6928,Fornhöjdsvägen 16,1600000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,4.0,74.5,,0,,3,1972.0,6240,4395,1,16.0,1.9649
6929,Fornhöjdsvägen 10,1100000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,2.0,62.0,,0,,3,1972.0,4370,3740,1,11.0,1.9649
6930,Fornhöjdsvägen 20,1460000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,3.0,74.5,,0,,8,1972.0,6000,4527,1,14.6,1.9649
6931,Fornhöjdsvägen 8,1525000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,3.0,74.5,,0,,3,1972.0,5040,4396,1,15.25,1.9649
6932,Fornhöjdsvägen 50,655000,15258,Södertälje kommun,19649,Lägenhet,Bostadsrätt,1.0,44.0,,0,,3,1972.0,4350,3705,1,6.55,1.9649
6933,Rättaregatan 1C,1550000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,2.0,55.0,,0,,1,2018.0,3600,3743,1,15.5,2.9249
6934,Rättaregatan 5C,2420000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,4.0,85.0,,0,,3,2018.0,3000,5074,1,24.2,2.9249
6935,Rättaregatan 1C,2265000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,4.0,85.0,,0,,1,2018.0,9600,5966,1,22.65,2.9249
6936,Dagsverksgatan 11B,1995000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,3.0,72.0,,0,,3,2017.0,7764,4298,1,19.95,2.9249
6937,"Rättaregatan 5c, Accepterat pris.",1595000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,2.0,55.0,,0,,1,2018.0,3000,3448,1,15.95,2.9249
6938,Rösestigen 6,2200000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,4.0,97.0,,0,,2,2005.0,3000,6434,1,22.0,2.9249
6939,Pirkgatan 6 F,3425000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,4.0,127.0,,1,,3,2015.0,12000,6188,1,34.25,2.9249
6940,Glasbygatan 23,2200000,15259,Södertälje kommun,29249,Lägenhet,Bostadsrätt,3.0,73.0,,0,,1,2017.0,11400,4124,1,22.0,2.9249
6941,Folkparksvägen 4,1900000,15270,Södertälje kommun,32113,Lägenhet,Bostadsrätt,2.0,63.0,,0,,3,2000.0,3000,3790,1,19.0,3.2113
6942,Folkparksvägen 4,2245000,15270,Södertälje kommun,32113,Lägenhet,Bostadsrätt,2.0,66.0,,0,,3,2000.0,3000,3642,1,22.45,3.2113
6943,Viksängsvägen 1,1425000,15270,Södertälje kommun,32113,Lägenhet,Bostadsrätt,2.0,59.5,,0,,2,1956.0,5824,5137,1,14.25,3.2113
6944,Folkparksvägen 6,2295000,15270,Södertälje kommun,32113,Lägenhet,Bostadsrätt,2.0,67.5,,0,,3,2000.0,3000,4926,1,22.95,3.2113
6945,Fågelviksgränd 2,1800000,15271,Södertälje kommun,41740,Lägenhet,Bostadsrätt,2.0,62.0,,0,,1,2002.0,3420,4948,1,18.0,4.174
6946,Östra Kanalgatan 10,2450000,15271,Södertälje kommun,41740,Lägenhet,Bostadsrätt,3.0,64.5,,0,,5,2002.0,4200,5638,1,24.5,4.174
6947,Mölnbovägen 23I,1600000,15332,Södertälje kommun,26951,Lägenhet,Bostadsrätt,2.0,55.0,,1,,1,,3000,4030,1,16.0,2.6951
6948,Mölnbovägen 23S,1760000,15332,Södertälje kommun,26951,Lägenhet,Bostadsrätt,2.0,53.0,,0,,1,2019.0,3000,2720,1,17.6,2.6951
6949,Mölnbovägen 23R,2450000,15332,Södertälje kommun,26951,Lägenhet,Bostadsrätt,3.5,87.0,,0,,3,2019.0,3600,5581,1,24.5,2.6951
6950,Rudsjövägen 21,1755000,15338,Södertälje kommun,40152,Lägenhet,Bostadsrätt,2.0,55.0,,0,,2,2017.0,5400,3180,1,17.55,4.0152
6951,Vallhöjdsvägen 27,2495000,15338,Södertälje kommun,40152,Lägenhet,Bostadsrätt,2.0,52.0,,0,,2,2023.0,3000,3510,1,24.95,4.0152
6952,Vallhöjdsvägen 27 - 2 år utan avgift!,2395000,15338,Södertälje kommun,40152,Lägenhet,Bostadsrätt,2.0,52.0,,0,,1,2023.0,3000,3510,1,23.95,4.0152
6953,Rudsjövägen 21,1900000,15338,Södertälje kommun,40152,Lägenhet,Bostadsrätt,3.0,76.0,,0,,1,2017.0,3600,4119,1,19.0,4.0152
6954,Rudsjövägen 17,1850000,15338,Södertälje kommun,40152,Lägenhet,Bostadsrätt,3.0,80.3,,0,,3,2007.0,3000,5918,1,18.5,4.0152
6955,Vallhöjdsvägen 25,2395000,15338,Södertälje kommun,40152,Lägenhet,Bostadsrätt,2.0,52.0,,0,,1,2024.0,9000,3884,1,23.95,4.0152
6956,Centrumvägen 4C,1600000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,2.0,44.0,,0,,5,2018.0,5400,3489,1,16.0,3.0343
6957,Fotbollsvägen 11,2300000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,63.0,,0,,1,2023.0,6000,4884,1,23.0,3.0343
6958,Gammeltorpsvägen 4D,1750000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,76.0,,0,,1,2008.0,8382,5983,1,17.5,3.0343
6959,Gammeltorpsvägen 2B,1875000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,2.0,55.7,,0,,1,1959.0,5750,3803,1,18.75,3.0343
6960,Gammeltorpsvägen 2B,1250000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,1.0,33.6,,0,,1,1959.0,3000,2221,1,12.5,3.0343
6961,Centrumvägen 4A,2500000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,65.0,,0,,4,2018.0,6000,5153,1,25.0,3.0343
6962,Fotbollsvägen 11,2250000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,2.0,50.5,,0,,1,2023.0,3000,4060,1,22.5,3.0343
6963,Centrumvägen 4A,2500000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,65.0,,0,,4,2018.0,6000,5153,1,25.0,3.0343
6964,Gammeltorpsvägen 4 O,1695000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,70.0,,0,,2,2007.0,8220,5263,1,16.95,3.0343
6965,Gammeltorpsvägen 4D,1750000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,76.0,,0,,1,2008.0,8382,5983,1,17.5,3.0343
6966,Centrumvägen 4C,2400000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,76.0,,0,,4,2018.0,3000,6026,1,24.0,3.0343
6967,Gammeltorpsvägen 4j,2295000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,4.0,141.0,,0,,2,,6744,10428,0,22.95,3.0343
6968,Fotbollsvägen 5,3295000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,84.0,,0,,2,,3000,6254,1,32.95,3.0343
6969,Fotbollsvägen 11,2250000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,2.0,50.5,,0,,1,2023.0,3000,4060,1,22.5,3.0343
6970,Fotbollsvägen 7,2460000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,2.0,50.5,,0,,2,2024.0,7800,4060,1,24.6,3.0343
6971,Gammeltorpsvägen 2B,2150000,15530,Nykvarns kommun,30343,Lägenhet,Bostadsrätt,3.0,69.5,,0,,1,1959.0,3000,3940,1,21.5,3.0343
6972,Holländarevägen 19,1650000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,2.0,53.1,,0,,1,1960.0,3600,3364,1,16.5,3.5268
6973,Holländarevägen 17,1895000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,2.0,56.5,,0,,1,1960.0,3000,3371,1,18.95,3.5268
6974,Hökmossvägen 2E,3000000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,3.0,78.8,,0,,2,2014.0,1339,5025,1,30.0,3.5268
6975,Hökmossvägen 2E,3000000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,3.0,78.8,,0,,3,2014.0,1339,5025,1,30.0,3.5268
6976,Holländarevägen 13,1850000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,2.0,56.5,,0,,2,1960.0,6840,3413,1,18.5,3.5268
6977,Hökmossvägen 2D,2850000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,3.0,78.8,,1,,1,,8337,5025,1,28.5,3.5268
6978,Hökmossvägen 2E,2995000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,3.0,78.8,,0,,1,2014.0,7978,5025,1,29.95,3.5268
6979,Hökmossvägen 2C,1725000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,2.0,50.0,,0,,1,1955.0,3000,2677,1,17.25,3.5268
6980,Hökmossvägen 2A,1630000,15531,Nykvarns kommun,35268,Lägenhet,Bostadsrätt,2.0,50.0,,0,,1,1955.0,3000,2677,1,16.3,3.5268
6981,Norra Stationsvägen 4C,2100000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,77.0,,0,,1,1966.0,3000,5240,1,21.0,3.1671
6982,Bruksgatan 6B,2350000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,76.0,,0,,2,1951.0,5550,4358,1,23.5,3.1671
6983,Norra Stationsvägen 30E,2250000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,70.0,,0,,2,2014.0,6000,4703,1,22.5,3.1671
6984,Bruksgatan 6b,2400000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,76.0,,0,,2,1951.0,3000,4358,0,24.0,3.1671
6985,Bruksparken 4,2700000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,67.0,,0,,1,2007.0,8376,6118,1,27.0,3.1671
6986,Norra stationsvägen 10A,1900000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,71.0,,0,,1,,4163,5270,0,19.0,3.1671
6987,Bruksgatan 6B,1595000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,2.0,42.0,,0,,3,1947.0,6300,2408,1,15.95,3.1671
6988,Bruksgatan 2A,1275000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,1.0,31.0,,0,,3,,5400,1777,1,12.75,3.1671
6989,Bruksgatan 2A,1900000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,2.0,66.0,,0,,1,1947.0,6600,3785,1,19.0,3.1671
6990,Bruksparken 10,2250000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,67.0,,0,,2,2007.0,2295,5245,1,22.5,3.1671
6991,Bruksparken 10,2250000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,67.0,,0,,2,2007.0,2295,5245,1,22.5,3.1671
6992,Bruksparken 8,2450000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,79.0,,0,,2,2007.0,3000,5746,1,24.5,3.1671
6993,Bruksgatan 6B,2450000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,76.0,,0,,1,1951.0,4300,4358,1,24.5,3.1671
6994,Norra Stationsvägen 30E,2250000,15533,Nykvarns kommun,31671,Lägenhet,Bostadsrätt,3.0,70.0,,0,,2,2014.0,6000,4703,1,22.5,3.1671
6995,Vidbynäs allé 27B,2450000,15591,Nykvarns kommun,41845,Lägenhet,Bostadsrätt,4.0,119.0,,0,,2,2019.0,26000,5287,1,24.5,4.1845
6996,Vidbynäs allé 19B,2395000,15591,Nykvarns kommun,41845,Lägenhet,Bostadsrätt,4.0,119.0,,0,,2,2021.0,15243,5287,1,23.95,4.1845
6997,Skepparvägen 1,3200000,15591,Nykvarns kommun,41845,Lägenhet,Bostadsrätt,3.0,82.0,,0,,2,2017.0,3600,6096,1,32.0,4.1845
6998,Skepparvägen 1,3200000,15591,Nykvarns kommun,41845,Lägenhet,Bostadsrätt,3.0,82.0,,0,,3,2017.0,3600,6096,1,32.0,4.1845
6999,Skepparvägen 9,2225000,15591,Nykvarns kommun,41845,Lägenhet,Bostadsrätt,2.0,55.0,,0,,2,2016.0,3000,3532,1,22.25,4.1845
7000,Torvmossvägen 6a,2150000,15594,Nykvarns kommun,42969,Lägenhet,Bostadsrätt,2.0,54.0,,0,,2,2018.0,7448,5042,1,21.5,4.2969
7001,"Ullvidevägen 21A, 2 tr",1940000,16244,Stockholms kommun,32975,Lägenhet,Bostadsrätt,2.5,71.0,,0,,2,2007.0,8536,4200,1,19.4,3.2975
7002,Ullvidevägen 23,2100000,16244,Stockholms kommun,32975,Lägenhet,Bostadsrätt,3.0,71.0,,0,,1,1986.0,3600,4200,1,21.0,3.2975
7003,Söderberga Allé 54,2500000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,3.0,68.0,,0,,2,1995.0,13580,4869,1,25.0,0.0
7004,Söderberga Allé 42,2150000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,4.0,91.0,,0,,3,1993.0,4268,7277,1,21.5,0.0
7005,Söderberga Allé 42,2510000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,4.0,91.0,,0,,3,1993.0,4275,7277,1,25.1,0.0
7006,Söderberga Allé 58,2200000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,2.0,71.0,,0,,2,1995.0,7200,4338,1,22.0,0.0
7007,Söderberga Allé 40,2950000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,4.0,104.0,,0,,-1,1993.0,14100,7931,1,29.5,0.0
7008,Söderberga allé 50,3270000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,4.0,109.0,,0,,3,1995.0,3000,6517,1,32.7,0.0
7009,Söderberga allé 36,2150000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,4.0,91.0,,0,,3,1993.0,9696,7277,1,21.5,0.0
7010,Söderberga Allé 15,2295000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,3.0,72.0,,0,,4,1999.0,7346,5815,1,22.95,0.0
7011,Söderberga Allé 54,2500000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,3.0,68.0,,0,,1,1995.0,13580,4869,1,25.0,0.0
7012,Söderberga Allé 27,2100000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,2.0,54.5,,0,,1,1999.0,6000,4696,1,21.0,0.0
7013,Söderberga Allé 50,3200000,16251,Stockholms kommun,0,Lägenhet,Bostadsrätt,4.0,101.0,,0,,4,1995.0,7428,6211,1,32.0,0.0
7014,Råckstavägen 80 (Vån 2),2450000,16252,Stockholms kommun,20843,Lägenhet,Bostadsrätt,3.0,76.0,,0,,2,2008.0,4400,5802,1,24.5,2.0843
7015,Njurundagatan 8 vån 2,2325000,16253,Stockholms kommun,32500,Lägenhet,Bostadsrätt,4.0,81.0,,0,,2,1958.0,3000,5761,1,23.25,3.25
7016,Njurundagatan 8,1895000,16253,Stockholms kommun,32500,Lägenhet,Bostadsrätt,2.0,49.0,,0,,-1,1959.0,9000,3698,1,18.95,3.25
7017,Njurundagatan 8,2295000,16253,Stockholms kommun,32500,Lägenhet,Bostadsrätt,3.0,70.2,,0,,2,1959.0,3000,5297,1,22.95,3.25
7018,Håsjögränd 2,2350000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,4.0,85.0,,0,,8,1958.0,4688,6883,1,23.5,2.8654
7019,Multrågatan 7 vån 3,1900000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,2.0,57.0,,0,,3,2009.0,3000,3979,1,19.0,2.8654
7020,Multrågatan 17,1800000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,1.0,44.0,,0,,1,2008.0,6000,3416,1,18.0,2.8654
7021,Håsjögränd 2,2275000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,73.0,,0,,5,,4200,4945,1,22.75,2.8654
7022,Multrågatan 13 (Vån 3),2175000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,2.0,54.0,,0,,3,2008.0,4600,3937,1,21.75,2.8654
7023,Håsjögränd 2,2140000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,73.0,,0,,2,1958.0,4452,5934,1,21.4,2.8654
7024,Multrågatan 21,2325000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,4.0,87.8,,0,,3,1958.0,5400,7219,1,23.25,2.8654
7025,Multrågatan 11 (943/1303),3150000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,84.0,,0,,3,,3000,6267,1,31.5,2.8654
7026,Råckstavägen 19,3050000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,84.0,,0,,3,2008.0,7200,6267,1,30.5,2.8654
7027,Råckstavägen 17,2195000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,2.0,61.0,,1,,1,2008.0,3000,5000,1,21.95,2.8654
7028,Råckstavägen 19,2120000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,2.0,54.0,,0,,2,2008.0,3600,4654,1,21.2,2.8654
7029,Multrågatan 19,2200000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,72.8,,0,,5,1958.0,5401,5934,1,22.0,2.8654
7030,Multrågatan 15,2970000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,84.0,,0,,2,2007.0,5100,6267,1,29.7,2.8654
7031,Råckstavägen 15 (Vån 4),2225000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,2.0,54.0,,0,,4,2008.0,4800,4646,1,22.25,2.8654
7032,Multrågatan 11 (943/1303),3150000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,84.0,,0,,3,,3000,6267,1,31.5,2.8654
7033,"Multrågatan 25, vån 1",2150000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,73.0,,0,,1,1958.0,1508,4945,1,21.5,2.8654
7034,Råckstavägen 21,3400000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,4.0,104.0,,0,,3,2009.0,5400,6647,1,34.0,2.8654
7035,"Multrågatan 13, Vån 1",2100000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,2.0,54.0,,0,,1,2008.0,3000,3937,1,21.0,2.8654
7036,"Multrågatan 23, 1 tr",1995000,16254,Stockholms kommun,28654,Lägenhet,Bostadsrätt,3.0,73.2,,0,,1,1958.0,5500,5933,1,19.95,2.8654
7037,Multrågatan 126,2400000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,4.0,90.0,,0,,3,1953.0,6700,7338,1,24.0,2.5593
7038,"Helgumsvägen 4, Lgh 1501",3500000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,4.0,103.0,,0,,4,2008.0,8820,7344,1,35.0,2.5593
7039,Multrågatan 120,1775000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,2.0,46.0,,0,,1,1953.0,4800,3410,1,17.75,2.5593
7040,"Helgumsvägen 4, 3 tr",2250000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,2.0,54.0,,0,,3,2008.0,6000,4646,1,22.5,2.5593
7041,"Helgumsvägen 4, 3 tr",2250000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,2.0,54.0,,0,,3,2008.0,6000,4646,1,22.5,2.5593
7042,Multrågatan 118,1895000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,3.0,64.0,,0,,1,1953.0,5800,5218,1,18.95,2.5593
7043,Helgumsvägen 2,2150000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,2.0,54.0,,0,,3,2008.0,3600,4646,1,21.5,2.5593
7044,"Multrågatan 118, 2 tr",1150000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,1.0,18.0,,0,,3,1953.0,4500,1334,1,11.5,2.5593
7045,Multrågatan 126,2100000,16255,Stockholms kommun,25593,Lägenhet,Bostadsrätt,3.0,80.0,,0,,0,1953.0,6000,6523,1,21.0,2.5593
7046,"Nickelgränd 18, Markplan",2050000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,2.0,51.0,,0,,0,1998.0,4255,4322,1,20.5,2.2602
7047,Grimstagatan 62,1180000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,1.0,48.0,,0,,1,1958.0,7354,3792,1,11.8,2.2602
7048,Nickelgränd 16,2150000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,2.0,64.0,,0,,2,1998.0,3700,4902,1,21.5,2.2602
7049,Nickelgränd 6,2400000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,3.0,75.0,,0,,2,1958.0,4200,3869,1,24.0,2.2602
7050,"Grimstagatan 56, Vån 1 (Renoveringsobjekt)",1200000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,1.0,48.0,,0,,1,1958.0,3000,3792,1,12.0,2.2602
7051,Nickelgränd 14,2340000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,2.0,64.0,,0,,3,1998.0,4200,4945,1,23.4,2.2602
7052,"Nickelgränd 4, 7tr",3050000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,3.0,76.0,,0,,3,1958.0,1800,3871,1,30.5,2.2602
7053,Grimstagatan 72 (Våning 2),2315000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,4.0,93.0,,0,,2,1958.0,4500,4898,1,23.15,2.2602
7054,"Nickelgränd 10, 5 tr",2400000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,3.0,76.0,,0,,5,1958.0,6000,3922,1,24.0,2.2602
7055,"Nickelgränd 1, 5 tr",3195000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,2.0,66.0,,0,,2,2002.0,3000,3466,1,31.95,2.2602
7056,Grimstagatan 58,1900000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,3.0,80.0,,0,,3,1958.0,4800,6319,1,19.0,2.2602
7057,Nickelgränd 8,2140000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,3.0,75.0,,0,,4,1058.0,3000,3922,1,21.4,2.2602
7058,"Nickelgränd 1, 5 tr",3195000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,2.0,66.0,,0,,2,2002.0,3000,3466,1,31.95,2.2602
7059,"Nickelgränd 4, 7tr",3050000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,3.0,76.0,,0,,1,1958.0,1800,3871,1,30.5,2.2602
7060,Grimstagatan 66,1800000,16256,Stockholms kommun,22602,Lägenhet,Bostadsrätt,3.0,80.0,,0,,3,1954.0,2200,6319,1,18.0,2.2602
7061,Kanngjutargränd 50,1995000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,2.0,65.5,,0,,1,2004.0,6460,5337,1,19.95,2.1992
7062,Kanngjutargränd 28,1880000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,2.0,53.0,,0,,2,2006.0,3000,4076,1,18.8,2.1992
7063,Kanngjutargränd 28,2500000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,3.0,70.0,,0,,3,2006.0,3000,5383,1,25.0,2.1992
7064,"Kanngjutargränd 30, 3tr",1805000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,2.0,48.0,,0,,3,2006.0,3000,3210,1,18.05,2.1992
7065,Kanngjutargränd 28,2175000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,3.0,70.0,,0,,2,2006.0,3600,4681,1,21.75,2.1992
7066,Kanngjutargränd 28,2000000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,3.0,70.0,,0,,3,2007.0,4000,5383,1,20.0,2.1992
7067,Kanngjutargränd 26,1850000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,2.0,49.0,,0,,2,2006.0,3500,3769,1,18.5,2.1992
7068,Kanngjutargränd 30 (Våning 4),2170000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,3.0,70.0,,0,,4,2006.0,3600,5383,1,21.7,2.1992
7069,Kanngjutargränd 28,2000000,16257,Stockholms kommun,21992,Lägenhet,Bostadsrätt,3.0,70.0,,0,,3,2007.0,4000,5383,1,20.0,2.1992
